id,publisher,repo,plugin,skill,domain,md_files,scripts_code,assets,data_config,packaging,license,other,files_total,skill_md_lines,skill_md_quality,extra_md_roles,non_md_summary,path
S1235,Anthropic,anthropics/claude-for-financial-advisors,skills,post-meeting,investing-banking-pe,1,0,0,0,0,0,0,1,89,substantive,none,none,skills/post-meeting
S1243,Anthropic,anthropics/claude-for-legal,ai-governance-legal,policy-monitor,legal-compliance,1,0,0,0,0,0,0,1,355,substantive,none,none,ai-governance-legal/skills/policy-monitor
S1253,Anthropic,anthropics/claude-for-legal,commercial-legal,nda-review,legal-compliance,1,0,0,0,0,0,0,1,313,substantive,none,none,commercial-legal/skills/nda-review
S1268,Anthropic,anthropics/claude-for-legal,corporate-legal,integration-management,legal-compliance,1,0,0,0,0,0,0,1,554,substantive,none,none,corporate-legal/skills/integration-management
S1292,Anthropic,anthropics/claude-for-legal,employment-legal,worker-classification,legal-compliance,1,0,0,0,0,0,0,1,400,substantive,none,none,employment-legal/skills/worker-classification
S1293,Anthropic,anthropics/claude-for-legal,external_plugins,cocounsel-legal:deep-research,legal-compliance,1,0,0,0,0,0,0,1,133,moderate,none,none,external_plugins/cocounsel-legal/skills/deep-research
S1294,Anthropic,anthropics/claude-for-legal,ip-legal,cease-desist,legal-compliance,1,0,0,0,0,0,0,1,502,substantive,none,none,ip-legal/skills/cease-desist
S1313,Anthropic,anthropics/claude-for-legal,law-student,irac-practice,legal-compliance,1,0,0,0,0,0,0,1,179,substantive,none,none,law-student/skills/irac-practice
S1341,Anthropic,anthropics/claude-for-legal,legal-clinic,research-start,legal-compliance,1,0,0,0,0,0,0,1,204,substantive,none,none,legal-clinic/skills/research-start
S1353,Anthropic,anthropics/claude-for-legal,litigation-legal,deposition-prep,legal-compliance,1,0,0,0,0,0,0,1,205,substantive,none,none,litigation-legal/skills/deposition-prep
S1363,Anthropic,anthropics/claude-for-legal,litigation-legal,subpoena-triage,legal-compliance,1,0,0,0,0,0,0,1,279,substantive,none,none,litigation-legal/skills/subpoena-triage
S1366,Anthropic,anthropics/claude-for-legal,privacy-legal,dpa-review,legal-compliance,1,0,0,0,0,0,0,1,246,substantive,none,none,privacy-legal/skills/dpa-review
S1375,Anthropic,anthropics/claude-for-legal,product-legal,feature-risk-assessment,legal-compliance,1,0,0,0,0,0,0,1,159,substantive,none,none,product-legal/skills/feature-risk-assessment
S1387,Anthropic,anthropics/claude-for-legal,regulatory-legal,policy-redraft,legal-compliance,1,0,0,0,0,0,0,1,200,substantive,none,none,regulatory-legal/skills/policy-redraft
S0180,Anthropic,anthropics/financial-services-plugins,partner-built/lseg,fx-carry-trade,investing-banking-pe,1,0,0,0,0,0,0,1,52,moderate,none,none,plugins/partner-built/lseg/skills/fx-carry-trade
S0194,Anthropic,anthropics/financial-services-plugins,vertical-plugins/equity-research,sector-overview,investing-banking-pe,1,0,0,0,0,0,0,1,89,moderate,none,none,plugins/vertical-plugins/equity-research/skills/sector-overview
S0199,Anthropic,anthropics/financial-services-plugins,vertical-plugins/financial-analysis,competitive-analysis,investing-banking-pe,3,0,0,0,0,0,0,3,280,substantive,references/ frameworks (2x2 axis pairs by industry) and table/slide schemas,none,plugins/vertical-plugins/financial-analysis/skills/competitive-analysis
S0209,Anthropic,anthropics/financial-services-plugins,vertical-plugins/fund-admin,accrual-schedule,finance-accounting,1,0,0,0,0,0,0,1,38,moderate,none,none,plugins/vertical-plugins/fund-admin/skills/accrual-schedule
S0219,Anthropic,anthropics/financial-services-plugins,vertical-plugins/investment-banking,merger-model,investing-banking-pe,1,0,0,0,0,0,0,1,112,substantive,none,none,plugins/vertical-plugins/investment-banking/skills/merger-model
S0232,Anthropic,anthropics/financial-services-plugins,vertical-plugins/private-equity,portfolio-monitoring,investing-banking-pe,1,0,0,0,0,0,0,1,61,moderate,none,none,plugins/vertical-plugins/private-equity/skills/portfolio-monitoring
S1426,Anthropic,anthropics/healthcare,healthcare,fraud-detection,legal-compliance,8,43,0,52,0,0,1,104,154,substantive,"README; claims-loading, detector-proposal, reference-data guides; scripts dev notes; state-policy crawl checklists","Node detectors/pipeline/renderers, 2 workflow JS, claims SQL schema; 51 state Medicaid policy JSONs, package.json, architecture HTML, .gitignore",plugins/healthcare/skills/fraud-detection
S0238,Anthropic,anthropics/knowledge-work-plugins,bio-research,scientific-problem-selection,science-research,10,0,0,0,0,1,0,11,270,substantive,"references/ 9 numbered sub-skill guides (intuition pumps, risk, decision tree, etc.)",Apache 2.0 LICENSE.txt,bio-research/skills/scientific-problem-selection
S0244,Anthropic,anthropics/knowledge-work-plugins,customer-support,draft-response,customer-support,1,0,0,0,0,0,0,1,419,substantive,none,none,customer-support/skills/draft-response
S0256,Anthropic,anthropics/knowledge-work-plugins,data,write-query,data-analytics-bi,1,0,0,0,0,0,0,1,123,moderate,none,none,data/skills/write-query
S0260,Anthropic,anthropics/knowledge-work-plugins,design,design-system,design-creative-media,1,0,0,0,0,0,0,1,191,substantive,none,none,design/skills/design-system
S0275,Anthropic,anthropics/knowledge-work-plugins,finance,sox-testing,finance-accounting,1,0,0,0,0,0,0,1,219,substantive,none,none,finance/skills/sox-testing
S0281,Anthropic,anthropics/knowledge-work-plugins,human-resources,org-planning,hr-people,1,0,0,0,0,0,0,1,29,thin,none,none,human-resources/skills/org-planning
S0288,Anthropic,anthropics/knowledge-work-plugins,legal,legal-response,legal-compliance,1,0,0,0,0,0,0,1,458,substantive,none,none,legal/skills/legal-response
