publisher	repo	name	skill_dir_abs_path	files_total	md	nonmd
Anthropic	anthropics/healthcare	fraud-detection	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__healthcare/plugins/healthcare/skills/fraud-detection	104	8	96
Anthropic	anthropics/skills	canvas-design	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__skills/skills/canvas-design	83	1	81
Anthropic	anthropics/skills	docx	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__skills/skills/docx	61	1	59
Anthropic	anthropics/skills	slack-gif-creator	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__skills/skills/slack-gif-creator	7	1	5
Anthropic	anthropics/claude-for-legal	renewal-tracker	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__claude-for-legal/commercial-legal/skills/renewal-tracker	2	1	1
Anthropic	anthropics/claude-plugins-official	project-artifact	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__claude-plugins-official/plugins/project-artifact/skills/project-artifact	3	2	1
Anthropic	anthropics/claude-for-legal	supervisor-review-queue	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__claude-for-legal/legal-clinic/skills/supervisor-review-queue	2	1	1
Anthropic	anthropics/healthcare	contracts	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__healthcare/plugins/healthcare/skills/contracts	4	2	2
Anthropic	anthropics/knowledge-work-plugins	nextflow-development	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__knowledge-work-plugins/bio-research/skills/nextflow-development	22	7	14
Anthropic	anthropics/financial-services-plugins	dcf-model	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__financial-services-plugins/plugins/vertical-plugins/financial-analysis/skills/dcf-model	4	2	2
Anthropic	anthropics/k12-teacher-skills	k12-lesson-plan-creation	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__k12-teacher-skills/plugin/skills/k12-lesson-plan-creation	16	7	7
OpenAI	openai/plugins	produce	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/creative-production/skills/produce	78	16	61
OpenAI	openai/plugins	earnings-deep-dive	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/public-equity-investing/skills/earnings-deep-dive	42	17	24
OpenAI	openai/plugins	google-docs	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/google-drive/skills/google-docs	38	19	16
OpenAI	openai/plugins	eqtl-catalogue-skill	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/life-science-research/skills/eqtl-catalogue-skill	4	1	2
OpenAI	openai/plugins	financials-normalizer	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/public-equity-investing/skills/financials-normalizer	12	6	4
OpenAI	openai/role-specific-plugins	build-competitive-brief	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__role-specific-plugins/plugins/sales/skills/build-competitive-brief	5	3	1
OpenAI	openai/plugins	narrator	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/higgsfield/skills/narrator	4	1	1
OpenAI	openai/skills	figma-create-new-file	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__skills/skills/.curated/figma-create-new-file	7	1	1
OpenAI	openai/skills	imagegen	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__skills/skills/.system/imagegen	11	6	1
OpenAI	openai/plugins	mixpanelyst	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/mixpanel-headless/skills/mixpanelyst	3	1	2
OpenAI	openai/plugins	boltz-protein-design	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/boltz-api-cli/skills/boltz-protein-design	12	4	7
OpenAI	openai/plugins	google-slides	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/openai__plugins/plugins/google-drive/skills/google-slides	16	1	12
Other vendors	anthropics/claude-plugins-community	quickdesign	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__claude-plugins-community/quickdesign/skills/quickdesign	22	21	1
Other vendors	makenotion/claude-code-notion-plugin	notion-research-documentation	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/makenotion__claude-code-notion-plugin/skills/notion/research-documentation	19	17	2
Other vendors	makenotion/claude-code-notion-plugin	notion-meeting-intelligence	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/makenotion__claude-code-notion-plugin/skills/notion/meeting-intelligence	15	13	2
Other vendors	zapier/gtm-cheat-codes	find-customer-social-proof	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/zapier__gtm-cheat-codes/skills/customer-advocacy/find-customer-social-proof	6	5	1
Other vendors	makenotion/claude-code-notion-plugin	notion-spec-to-implementation	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/makenotion__claude-code-notion-plugin/skills/notion/spec-to-implementation	15	13	2
Other vendors	anthropics/claude-plugins-community	tres-asc845-swap-reprice-skill	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/anthropics__claude-plugins-community/tres-finance-plugin/skills/tres-asc845-swap-reprice-skill	3	1	2
Community	alirezarezvani/claude-skills	stock-analysis	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/alirezarezvani__claude-skills/finance/skills/stock-analysis	61	54	7
Community	K-Dense-AI/claude-scientific-skills	clinical-reports	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/K-Dense-AI__claude-scientific-skills/skills/clinical-reports	36	12	24
Community	K-Dense-AI/claude-scientific-skills	iso-standards-readiness	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/K-Dense-AI__claude-scientific-skills/skills/iso-standards-readiness	32	13	19
Community	K-Dense-AI/claude-scientific-skills	citation-management	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/K-Dense-AI__claude-scientific-skills/skills/citation-management	21	12	9
Community	coreyhaines31/marketingskills	pricing	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/coreyhaines31__marketingskills/skills/pricing	6	5	1
Community	alirezarezvani/claude-skills	product-strategist	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/alirezarezvani__claude-skills/product-team/skills/product-strategist	6	4	2
Community	alirezarezvani/claude-skills	quality-documentation-manager	/tmp/claude-0/-home-user-2048/52a1ea60-b7a7-54b2-835a-a72ec8f4e1e5/scratchpad/repos/alirezarezvani__claude-skills/ra-qm-team/skills/quality-documentation-manager	5	3	2
